# HR	designation	proper name
# designations from the Yale BSC5 (bytes 5-14); proper names are a
# curated subset -- a blank third column just means no common name
# is carried here, the designation is still authoritative.
1057	VA 901	
1058	Chi For	
1061	4 Tau	
1066	5 Tau	
1069	36 Per	
1070	17 Eri	
1079	6 Tau	
1083	Kap Ret	
1084	Eps Eri	
1086	7 Tau	
1087	Psi Per	
1088	Tau Eri	
1100	20 Eri	
1101	10 Tau	
1111	21 Eri	
1114	Tau For	
1115	12 Tau	
1118	11 Tau	
1121	22 Eri	
1122	Del Per	
1123	40 Per	
1126	13 Tau	
1131	Omi Per	
1132	14 Tau	
1134	Del For	
1135	Nu Per	
1136	Del Eri	
1140	16 Tau	
1142	17 Tau	
1144	18 Tau	
1145	19 Tau	
1146	24 Eri	
1148	Gam Cam	
1149	20 Tau	
1150	25 Eri	
1151	21 Tau	
1152	22 Tau	
1153	29 Tau	
1156	23 Tau	
1162	Pi Eri	
1165	Eta Tau	Alcyone
1171	Sig For	
1173	Tau Eri	
1174	30 Tau	
1175	Bet Ret	
1177	42 Per	
1178	27 Tau	
1180	28 Tau	
1181	Tau Eri	
1184	Rho For	
1199	31 Tau	
1202	30 Eri	
1203	Zet Per	
1208	Gam Hyi	
1210	43 Per	
1211	32 Eri	
1212	32 Eri	
1213	Tau Eri	
1218	32 Tau	
1220	Eps Per	
1221	33 Tau	
1228	Xi Per	
1231	Gam Eri	
1239	Lam Tau	
1240	Tau Eri	
1244	35 Eri	
1247	Del Ret	
1251	Nu Tau	
1252	36 Tau	
1253	40 Tau	
1256	37 Tau	
1261	Lam Per	
1262	39 Tau	
1264	Gam Ret	
1266	Iot Ret	
1268	41 Tau	
1269	Psi Tau	
1273	48 Per	
1277	49 Per	
1278	50 Per	
1283	Ome Tau	
1287	44 Tau	
1290	37 Eri	
1292	45 Tau	
1298	Omi Eri	
1302	Del Hor	
1303	Mu Per	
1306	52 Per	
1309	46 Tau	
1311	47 Tau	
1318	39 Eri	
1319	48 Tau	
1320	Mu Tau	
1325	Omi Eri	
1326	Alp Hor	
1329	Ome Tau	
1331	51 Tau	
1336	Alp Ret	
1338	Gam Dor	
1339	53 Tau	
1341	56 Tau	
1343	54 Per	
1346	Gam Tau	
1347	Ups Eri	
1348	Phi Tau	
1350	53 Per	
1351	57 Tau	
1355	Eps Ret	
1356	58 Tau	
1368	60 Tau	
1369	Chi Tau	
1372	The Ret	
1373	Del Tau	
1376	63 Tau	
1377	55 Per	
1378	62 Tau	
1379	56 Per	
1380	Del Tau	
1381	66 Tau	
1383	Xi Eri	
1387	Kap Tau	
1388	Kap Tau	
1389	Del Tau	
1391	70 Tau	
1392	Ups Tau	
1393	43 Eri	
1394	71 Tau	
1395	Eta Ret	
1396	Pi Tau	
1399	72 Tau	
1407	75 Tau	
1408	76 Tau	
1409	Eps Tau	
1411	The Tau	
1412	The Tau	
1414	79 Tau	
1417	1 Cam	
1422	80 Tau	
1426	Del Men	
1428	81 Tau	
1430	83 Tau	
1432	85 Tau	
1434	57 Per	
1437	45 Eri	
1443	Del Cae	
1444	Rho Tau	
1449	46 Eri	
1451	47 Eri	
1453	Ups Eri	
1454	58 Per	
1456	Nu Men	
1457	Alp Tau	Aldebaran
1458	88 Tau	
1463	Nu Eri	
1464	Ups Eri	
1465	Alp Dor	
1466	2 Cam	
1467	3 Cam	
1472	89 Tau	
1473	90 Tau	
1474	51 Eri	
1478	Sig Tau	
1479	Sig Tau	
1481	53 Eri	
1484	93 Tau	
1494	59 Per	
1496	54 Eri	
1497	Tau Tau	
1499	95 Tau	
1502	Alp Cae	
1503	Bet Cae	
1505	55 Eri	
1506	55 Eri	
1508	56 Eri	
1511	4 Cam	
1516	Lam Pic	
1520	Mu Eri	
1530	Kap Dor	
1532	58 Eri	
1537	96 Tau	
1538	59 Eri	
1539	Zet Cae	
1541	Mu Men	
1542	Alp Cam	
1543	Pi Ori	
1544	Pi Ori	
1547	97 Tau	
1549	60 Eri	
1551	2 Aur	
1552	Pi Ori	
1555	5 Cam	
1556	Omi Ori	
1560	Ome Eri	
1562	5 Ori	
1563	Iot Pic	
1564	Iot Pic	
1567	Pi Ori	
1568	7 Cam	
1569	6 Ori	
1570	Pi Ori	
1577	Iot Aur	
1580	Omi Ori	
1582	62 Eri	
1586	99 Tau	
1588	8 Cam	
1590	98 Tau	
1592	Ome Aur	
1599	5 Aur	
1601	Pi Ori	
1602	6 Aur	
1603	Bet Cam	
1605	Eps Aur	
1608	63 Eri	
1611	64 Eri	
1612	Zet Aur	
1617	Psi Eri	
1620	Iot Tau	
1622	11 Cam	
1623	12 Cam	
1629	Eta Men	
1634	1 Lep	
1637	9 Aur	
1638	11 Ori	
1641	Eta Aur	
1649	Eta Pic	
1652	Gam Cae	
1653	Gam Cae	
1654	Eps Lep	
1656	104 Tau	
1657	66 Eri	
1658	106 Tau	
1659	103 Tau	
1660	105 Tau	
1662	13 Ori	
1663	Eta Pic	
1664	14 Ori	
1666	Bet Eri	
1672	16 Ori	
1673	68 Eri	
1674	Zet Dor	
1676	15 Ori	
1677	Bet Men	
1678	14 Cam	
1679	Lam Eri	
1689	Mu Aur	
1696	Iot Lep	
1698	Rho Ori	
1702	Mu Lep	
1705	Kap Lep	
1706	14 Aur	
1708	Alp Aur	Capella
1711	108 Tau	
1713	Bet Ori	Rigel
1716	Xi Men	
1718	18 Ori	
1719	15 Cam	
1726	16 Aur	
1728	17 Aur	
1729	Lam Aur	
1734	18 Aur	
1735	Tau Ori	
1739	109 Tau	
1740	19 Aur	
1743	Omi Col	
1744	The Dor	
1746	21 Ori	
1749	Rho Aur	
1751	16 Cam	
1756	Lam Lep	
1757	Nu Lep	
1765	22 Ori	
1767	Zet Pic	
1768	22 Aur	
1770	23 Ori	
1773	Sig Aur	
1774	110 Tau	
1780	111 Tau	
1783	8 Lep	
1784	29 Ori	
1787	27 Ori	
1788	Eta Ori	
1789	Psi Ori	
1790	Gam Ori	Bellatrix
1791	Bet Tau	Elnath
1798	113 Tau	
1801	Kap Pic	
1802	17 Cam	
1805	Phi Aur	
1808	115 Tau	
1810	114 Tau	
1811	Psi Ori	
1814	116 Tau	
1816	117 Tau	
1818	The Pic	
1821	118 Tau	
1828	18 Cam	
1829	Bet Lep	
1834	31 Ori	
1836	Lam Dor	
1839	32 Ori	
1841	VA 891	
1842	33 Ori	
1843	Chi Aur	
1845	119 Tau	
1849	10 Lep	
1851	Del Ori	Mintaka
1852	Del Ori	Mintaka
1855	Ups Ori	
1857	19 Cam	
1858	120 Tau	
1862	Eps Col	
1864	35 Ori	
1865	Alp Lep	Arneb
1872	38 Ori	
1875	121 Tau	
1876	Phi Ori	
1879	Lam Ori	
1880	Lam Ori	
1892	42 Ori	
1893	The Ori	
1894	The Ori	
1895	The Ori	
1896	The Ori	
1897	The Ori	
1899	Iot Ori	
1901	45 Ori	
1903	Eps Ori	Alnilam
1905	122 Tau	
1907	Phi Ori	
1910	Zet Tau	
1914	26 Aur	
1922	Bet Dor	
1926	Nu Col	
1928	125 Tau	
1931	Sig Ori	
1934	Ome Ori	
1935	Nu Col	
1937	49 Ori	
1941	24 Cam	
1943	23 Cam	
1946	126 Tau	
1948	Zet Ori	Alnitak
1949	Zet Ori	Alnitak
1953	Gam Men	
1956	Alp Col	Phact
1963	51 Ori	
1968	12 Lep	
1969	26 Cam	
1971	Omi Aur	
1983	Gam Lep	
1985	129 Tau	
1989	131 Tau	
1990	130 Tau	
1991	Iot Men	
1992	29 Cam	
1993	133 Tau	
1995	Tau Aur	
1996	Mu Col	
1998	Zet Lep	
1999	52 Ori	
2002	132 Tau	
2004	Kap Ori	Saiph
2006	30 Cam	
2010	134 Tau	
2011	Ups Aur	
2012	Nu Aur	
2015	Del Dor	
2016	135 Tau	
2020	Bet Pic	
2022	Pi Men	
2027	31 Cam	
2029	Xi Aur	
2031	55 Ori	
2033	137 Tau	
2034	136 Tau	
2035	Del Lep	
2037	56 Ori	
2040	Bet Col	
2042	Gam Pic	
2047	Chi Ori	
2052	57 Ori	
2056	Lam Col	
2061	Alp Ori	Betelgeuse
2062	Lam Men	
2064	Eps Dor	
2077	Del Aur	
2084	139 Tau	
2085	Eta Lep	
2087	Xi Col	
2088	Bet Aur	Menkalinan
2091	Pi Aur	
2092	Sig Col	
2095	The Aur	
2100	59 Ori	
2101	36 Aur	
2103	60 Ori	
2106	Gam Col	
2107	1 Mon	
2108	2 Mon	
2119	38 Aur	
2120	Eta Col	
2124	Mu Ori	
2125	Kap Men	
2128	3 Mon	
2130	64 Ori	
2132	39 Aur	
2134	1 Gem	
2135	Chi Ori	
2143	40 Aur	
2144	63 Ori	
2145	66 Ori	
2148	17 Lep	
2152	37 Cam	
2155	The Lep	
2159	Nu Ori	
2165	36 Cam	
2168	19 Lep	
2171	Pi Col	
2173	3 Gem	
2175	41 Aur	
2176	41 Aur	
2177	The Col	
2181	Pi Col	
2185	5 Gem	
2193	68 Ori	
2194	Eta Dor	
2197	6 Gem	
2198	69 Ori	
2199	Xi Ori	
2201	40 Cam	
2212	Del Pic	
2215	1 Lyn	
2216	Eta Gem	
2219	Kap Aur	
2220	71 Ori	
2221	Nu Dor	
2223	72 Ori	
2227	Gam Mon	
2228	42 Aur	
2229	73 Ori	
2230	8 Gem	
2238	2 Lyn	
2239	43 Aur	
2240	9 Gem	
2241	74 Ori	
2245	Eta Dor	
2247	75 Ori	
2255	6 Mon	
2256	Kap Col	
2257	4 Lyn	
2261	Alp Men	
2264	45 Aur	
2273	7 Mon	
2282	Zet CMa	
2286	Mu Gem	
2289	Psi Aur	
2293	5 Lyn	
2294	Bet CMa	
2296	Del Col	
2298	Eps Mon	
2320	Nu Pic	
2326	Alp Car	Canopus
2330	16 Gem	
2331	6 Lyn	
2332	48 Aur	
2338	47 Aur	
2343	Nu Gem	
2344	10 Mon	
2352	Pi Dor	
2356	Bet Mon	
2357	Bet Mon	
2358	Bet Mon	
2361	Lam CMa	
2371	19 Gem	
2376	7 Lyn	
2377	Pi Dor	
2382	12 Mon	
2385	13 Mon	
2387	Xi CMa	
2394	8 Lyn	
2398	49 Aur	
2402	11 Lyn	
2404	14 Mon	
2412	Mu Pic	
2414	Xi CMa	
2419	51 Aur	
2420	Psi Aur	
2421	Gam Gem	Alhena
2423	Nu CMa	
2425	53 Aur	
2427	Psi Aur	
2429	Nu CMa	
2438	54 Aur	
2443	Nu CMa	
2451	Nu Pup	
2453	25 Gem	
2456	15 Mon	
2459	Psi Aur	
2466	26 Gem	
2470	12 Lyn	
2472	VA 903	
2473	Eps Gem	
2477	13 Lyn	
2478	30 Gem	
2480	28 Gem	
2483	Psi Aur	
2484	Xi Gem	
2487	Psi Aur	
2489	32 Gem	
2490	42 Cam	
2491	Alp CMa	Sirius
2492	10 CMa	
2494	16 Mon	
2496	GC 281	
2503	17 Mon	
2504	11 CMa	
2506	18 Mon	
2509	12 CMa	
2511	43 Cam	
2516	Psi Aur	
2519	33 Gem	
2520	14 Lyn	
2525	35 Gem	
2529	36 Gem	
2538	Kap CMa	
2539	59 Aur	
2540	The Gem	
2541	60 Aur	
2547	Psi Aur	
2550	Alp Pic	
2553	Tau Pup	
2559	Zet Men	
2560	15 Lyn	
2564	38 Gem	
